Injection[mA],ER[dB],Q
0.5,-4.2599,1.3497
1.0,-7.0015,1.6268
1.5,-6.4927,2.0935
2.0,-4.0671,2.501
2.5,0.50375,3.3446
3.0,1.57260,3.7251
3.5,3.81730,4.4392
4.0,5.85910,5.1367
4.5,6.72420,5.7405
5.0,7.56230,6.4097
5.5,8.34050,6.9415
6.0,8.58420,7.4094
6.5,8.94980,8.1841
7.0,9.15970,8.7435
7.5,9.39800,9.2547
8.0,9.52880,9.9259
8.5,9.65270,10.2743
9.0,9.85520,11.1970
9.5,9.87270,11.5495
10.0,9.8986,11.9713
10.5,9.9705,12.7254
11.0,10.0593,13.1878
11.5,10.0246,13.6987
12.0,10.0609,14.1891
12.5,10.1074,14.5663
13.0,10.1050,15.1065
13.5,10.1171,15.4648
14.0,10.1518,15.7482
14.5,10.1464,16.0960
15.0,10.1653,16.5669
15.5,10.1625,16.9168
16.0,10.1703,17.1882













